enrichment_type,subtype,domain,strategy,count,percentage,mean_score,median_score,std_dev,min_score,max_score
answerability,ANSWERABLE,all,lastturn,709,91.25,18.89891399196051,18.997488,4.972921550797275,4.8060555,35.413162
answerability,ANSWERABLE,all,rewrite,709,91.25,21.265724487306066,21.687994,4.531795682133747,6.830464,35.413162
answerability,ANSWERABLE,all,questions,709,91.25,21.853802498589562,21.43333,4.407521209802936,10.792541,39.63394
answerability,PARTIAL,all,lastturn,68,8.75,16.391957919117647,16.265294,4.959976294308171,6.760389,29.914299
answerability,PARTIAL,all,rewrite,68,8.75,19.512038788235294,19.7448235,4.927221739601753,7.9557276,31.554405
answerability,PARTIAL,all,questions,68,8.75,21.301664029411764,20.849844,5.115530321770912,11.685927,33.378796
answerability,ANSWERABLE,clapnq,lastturn,192,92.31,19.853879163541666,19.917285,4.813503639792315,7.4289064,35.413162
answerability,ANSWERABLE,clapnq,rewrite,192,92.31,22.076161255208334,22.298984500000003,4.273720500056352,9.741959,35.413162
answerability,ANSWERABLE,clapnq,questions,192,92.31,22.254412557291666,21.8898705,4.041680000717252,14.745671,33.722088
answerability,ANSWERABLE,cloud,lastturn,177,94.15,17.970724728813558,17.676409,4.801973801163975,5.407337,31.760063
answerability,ANSWERABLE,cloud,rewrite,177,94.15,20.29084563559322,20.532063,4.737734575710251,6.830464,30.851904
answerability,ANSWERABLE,cloud,questions,177,94.15,22.318186779661016,21.686657,5.45769917874481,11.253816,39.63394
answerability,ANSWERABLE,fiqa,lastturn,163,90.56,20.50658539570552,20.940922,4.485734482252366,10.719011,34.594685
answerability,ANSWERABLE,fiqa,rewrite,163,90.56,22.66833901226994,22.829428,3.7129705709690732,11.614173,34.294754
answerability,ANSWERABLE,fiqa,questions,163,90.56,21.99726586809816,21.77075,3.2549951854120063,14.487915,30.986572
answerability,ANSWERABLE,govt,lastturn,177,88.06,17.310697877966103,17.478186,5.095625458009386,4.8060555,34.575405
answerability,ANSWERABLE,govt,rewrite,177,88.06,20.069812225988702,19.633972,4.76715849181031,8.798764,34.281677
answerability,ANSWERABLE,govt,questions,177,88.06,20.822742169491526,20.533546,4.404573153616558,10.792541,33.414787
answerability,PARTIAL,clapnq,lastturn,16,7.69,16.19811875625,15.190747,4.83050554503572,6.9331846,26.85221
answerability,PARTIAL,clapnq,rewrite,16,7.69,20.360580475,20.497422999999998,5.635703053565746,7.9557276,31.554405
answerability,PARTIAL,clapnq,questions,16,7.69,21.9691859375,20.213223499999998,5.578063037398167,14.688102,33.378796
answerability,PARTIAL,cloud,lastturn,11,5.85,17.94315518181818,17.101849,3.947409549341766,11.279443,24.214975
answerability,PARTIAL,cloud,rewrite,11,5.85,18.679769727272728,17.101849,5.0180466070734955,11.482285,28.37287
answerability,PARTIAL,cloud,questions,11,5.85,20.742593818181817,19.695578,4.941379765390388,14.466107,28.487051
answerability,PARTIAL,fiqa,lastturn,17,9.44,17.570975588235296,16.259266,4.8931354792183495,8.970489,29.914299
answerability,PARTIAL,fiqa,rewrite,17,9.44,21.482079176470588,22.517656,4.112814092522953,14.960004,27.241983
answerability,PARTIAL,fiqa,questions,17,9.44,22.643186235294117,23.211426,3.6677376857911423,15.651551,26.796951
answerability,PARTIAL,govt,lastturn,24,11.94,14.9750811,15.322216000000001,5.358852832469374,6.760389,23.706804
answerability,PARTIAL,govt,rewrite,24,11.94,17.932355708333333,18.5767715,4.5812335792313625,8.691966,27.127733
answerability,PARTIAL,govt,questions,24,11.94,20.162645041666668,19.911214,5.728911353105242,11.685927,32.597763
